node,water_system,tribe,haplochromine,lm_ecology,ancestral,tribal_root,description
464,LT,Cyprichromini,Other,N/A,Derived,Cyprichromini,"Root node of Cyprichromini, divergence between Paracyprichromis and Cyprichromis"
465,LT,Cyprichromini,Other,N/A,Derived,,Root of Cyprichromis (genus)
466,LT,Cyprichromini,Other,N/A,Derived,,
467,LT,Cyprichromini,Other,N/A,Derived,,
468,LT,Cyprichromini,Other,N/A,Derived,,
469,LT,Cyprichromini,Other,N/A,Derived,,
470,LT,N/A,Other,N/A,Ancestral,,"ancestral node, divergence between ectodini and Limnochromini"
471,LT,Ectodini,Other,N/A,Derived,Ectodini,Root node of Ectodini
472,LT,Ectodini,Other,N/A,Derived,,
473,LT,Ectodini,Other,N/A,Derived,,
474,LT,Ectodini,Other,N/A,Derived,,
475,LT,Ectodini,Other,N/A,Derived,,
476,LT,Ectodini,Other,N/A,Derived,,
477,LT,Ectodini,Other,N/A,Derived,,
478,LT,Ectodini,Other,N/A,Derived,,
479,LT,Ectodini,Other,N/A,Derived,,
480,LT,Ectodini,Other,N/A,Derived,,
481,LT,Ectodini,Other,N/A,Derived,,
482,LT,Ectodini,Other,N/A,Derived,,
483,LT,Ectodini,Other,N/A,Derived,,
484,LT,Ectodini,Other,N/A,Derived,,
485,LT,Ectodini,Other,N/A,Derived,,
486,LT,Ectodini,Other,N/A,Derived,,
487,LT,Ectodini,Other,N/A,Derived,,
488,LT,Ectodini,Other,N/A,Derived,,
489,LT,Ectodini,Other,N/A,Derived,,
490,LT,Ectodini,Other,N/A,Derived,,
491,LT,Ectodini,Other,N/A,Derived,,
492,LT,Ectodini,Other,N/A,Derived,,
493,LT,Ectodini,Other,N/A,Derived,,
494,LT,Ectodini,Other,N/A,Derived,,
495,LT,Ectodini,Other,N/A,Derived,,
496,LT,Limnochromini,Other,N/A,Derived,Limnochromini,Root node of Limnochromini
497,LT,Limnochromini,Other,N/A,Derived,,
498,LT,Limnochromini,Other,N/A,Derived,,
499,LT,Limnochromini,Other,N/A,Derived,,
500,LT,Limnochromini,Other,N/A,Derived,,
501,LT,Limnochromini,Other,N/A,Derived,,
502,LT,Limnochromini,Other,N/A,Derived,,
503,LT,Limnochromini,Other,N/A,Derived,,
504,LT,Limnochromini,Other,N/A,Derived,,
505,LT,Cyphotilapiini,Other,N/A,Derived,Cyphotilapiini,Root node of Cyphotilapiini
506,LT,N/A,Other,N/A,Ancestral,,Diverging node of Haplochromini and Eretmodini
507,Riverine,Haplochromini,Haplochromine,N/A,Derived,Haplochromini,Root node of Haplochromini
508,Riverine,Haplochromini,Haplochromine,N/A,Derived,,
509,Riverine,Haplochromini,Haplochromine,N/A,Derived,,
510,Riverine,Haplochromini,Haplochromine,N/A,Derived,,ancestral node
511,Riverine,Haplochromini,Haplochromine,N/A,Derived,,ancestral node
512,Riverine,Haplochromini,Haplochromine,N/A,Derived,,"ancestral node, divegence between Tropheini and Lake Radiation Haplochromines"
513,Riverine,Haplochromini,Haplochromine,N/A,Derived,,ancestral node
514,Riverine,Haplochromini,Haplochromine,N/A,Derived,LV_LM_MCRA,Diverging node between LM and LV radiations
515,LV,LV Haplochromini,Haplochromine,N/A,Derived,LVRS_Haplochromines,Root node of LVRS  haplochromines
516,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
517,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
518,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
519,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
520,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
521,LV,LV Haplochromini,Haplochromine,N/A,Derived,,Root node of LV proper
522,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
523,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
524,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
525,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
526,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
527,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
528,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
529,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
530,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
531,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
532,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
533,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
534,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
535,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
536,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
537,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
538,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
539,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
540,LV,LV Haplochromini,Haplochromine,N/A,Derived,,LV proper
541,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
542,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
543,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
544,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
545,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
546,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
547,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
548,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
549,LV,LV Haplochromini,Haplochromine,N/A,Derived,,
550,LM,LM Haplochromini,Haplochromine,Ancestral,Derived,LM_Haplochromines,Root node of LM cichlids
551,LM,LM Haplochromini,Haplochromine,Ancestral,Derived,,Diverging node between Diplotaxodon and Rhamphochromis
552,LM,LM Haplochromini,Haplochromine,Rhamphochromis,Derived,,
553,LM,LM Haplochromini,Haplochromine,Rhamphochromis,Derived,,
554,LM,LM Haplochromini,Haplochromine,Rhamphochromis,Derived,,
555,LM,LM Haplochromini,Haplochromine,Diplotaxodon,Derived,,
556,LM,LM Haplochromini,Haplochromine,Diplotaxodon,Derived,,
557,LM,LM Haplochromini,Haplochromine,Diplotaxodon,Derived,,
558,LM,LM Haplochromini,Haplochromine,Diplotaxodon,Derived,,
559,LM,LM Haplochromini,Haplochromine,Diplotaxodon,Derived,,
560,LM,LM Haplochromini,Haplochromine,Diplotaxodon,Derived,,
561,LM,LM Haplochromini,Haplochromine,Ancestral,Derived,,ancestral node. Root node of all non-Diplo/Rhampho
562,LM,LM Haplochromini,Haplochromine,Ancestral,Derived,,ancestral node… divergence of pelagic versus benthic
563,LM,LM Haplochromini,Haplochromine,Deep Benthic,Derived,,Root node of Deep Benthics
564,LM,LM Haplochromini,Haplochromine,Deep Benthic,Derived,,
565,LM,LM Haplochromini,Haplochromine,Deep Benthic,Derived,,
566,LM,LM Haplochromini,Haplochromine,Deep Benthic,Derived,,
567,LM,LM Haplochromini,Haplochromine,Deep Benthic,Derived,,
568,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Root node of all Shallow Benthics
569,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
570,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
571,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
572,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
573,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
574,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
575,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
576,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
577,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
578,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
579,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
580,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
581,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
582,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
583,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
584,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
585,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
586,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
587,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
588,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Root node of Champsochromis
589,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
590,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
591,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
592,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
593,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
594,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
595,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
596,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
597,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
598,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
599,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
600,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
601,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
602,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
603,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
604,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
605,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
606,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
607,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
608,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
609,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
610,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
611,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
612,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
613,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
614,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
615,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
616,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Root node of Nimbochromis
617,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Nimbochromis
618,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Nimbochromis
619,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
620,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Root node of Dimidiochromis
621,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Dimidiochromis
622,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Dimidiochromis
623,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
624,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
625,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
626,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
627,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
628,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
629,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
630,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
631,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Root node of Utaka
632,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
633,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
634,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
635,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
636,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
637,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
638,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
639,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
640,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
641,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
642,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Diverging node between A. calliptera and Mbuna
643,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,Root node of all Mbuna
644,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
645,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
646,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
647,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
648,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
649,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
650,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
651,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
652,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
653,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
654,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
655,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
656,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
657,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
658,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
659,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
660,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
661,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
662,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
663,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
664,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
665,LM,LM Haplochromini,Haplochromine,Shallow Benthic,Derived,,
666,Riverine,Haplochromini,Haplochromine,N/A,Derived,,
667,LT,Tropheini,Haplochromine,N/A,Derived,Tropheini,Root Node of Tropheini
668,LT,Tropheini,Haplochromine,N/A,Derived,,
669,LT,Tropheini,Haplochromine,N/A,Derived,,
670,LT,Tropheini,Haplochromine,N/A,Derived,,
671,LT,Tropheini,Haplochromine,N/A,Derived,,
672,LT,Tropheini,Haplochromine,N/A,Derived,,
673,LT,Tropheini,Haplochromine,N/A,Derived,,
674,LT,Tropheini,Haplochromine,N/A,Derived,,
675,LT,Tropheini,Haplochromine,N/A,Derived,,
676,LT,Tropheini,Haplochromine,N/A,Derived,,
677,LT,Tropheini,Haplochromine,N/A,Derived,,
678,LT,Tropheini,Haplochromine,N/A,Derived,,
679,LT,Tropheini,Haplochromine,N/A,Derived,,
680,LT,Tropheini,Haplochromine,N/A,Derived,,
681,LT,Tropheini,Haplochromine,N/A,Derived,,
682,LT,Tropheini,Haplochromine,N/A,Derived,,
683,LT,Tropheini,Haplochromine,N/A,Derived,,
684,LT,Tropheini,Haplochromine,N/A,Derived,,
685,LT,Tropheini,Haplochromine,N/A,Derived,,
686,Riverine,Haplochromini,Haplochromine,N/A,Derived,,ancestral node
687,Riverine,Haplochromini,Haplochromine,N/A,Derived,,ancestral node
688,Riverine,Haplochromini,Haplochromine,N/A,Derived,,
689,Riverine,Haplochromini,Haplochromine,N/A,Derived,,
690,Riverine,Haplochromini,Haplochromine,N/A,Derived,,
691,Riverine,Serranochromini,Haplochromine,N/A,Derived,Serranochromini,Root note of Serranochromini
692,Riverine,Serranochromini,Haplochromine,N/A,Derived,,Divergence between Thoracochromis and Sargochromis
693,Riverine,Serranochromini,Haplochromine,N/A,Derived,,Diverging node between Serranochromis and Sargochromis
694,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
695,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
696,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
697,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
698,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
699,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
700,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
701,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
702,Riverine,Serranochromini,Haplochromine,N/A,Derived,,
703,Riverine,Haplochromini,Haplochromine,N/A,Derived,,
704,Riverine,Haplochromini,Haplochromine,N/A,Derived,,
705,LT,Eretmodini,Other,N/A,Derived,Eretmodini,Root node of Eretmodini
706,LT,Eretmodini,Other,N/A,Derived,,
707,LT,Eretmodini,Other,N/A,Derived,,
708,LT,Eretmodini,Other,N/A,Derived,,
709,LT,Lamprologini,Other,N/A,Derived,Lamprologini,Root node of Lamprologini
710,LT,Lamprologini,Other,N/A,Derived,,
711,LT,Lamprologini,Other,N/A,Derived,,
712,LT,Lamprologini,Other,N/A,Derived,,
713,LT,Lamprologini,Other,N/A,Derived,,
714,LT,Lamprologini,Other,N/A,Derived,,
715,LT,Lamprologini,Other,N/A,Derived,,
716,LT,Lamprologini,Other,N/A,Derived,,
717,LT,Lamprologini,Other,N/A,Derived,,
718,LT,Lamprologini,Other,N/A,Derived,,
719,LT,Lamprologini,Other,N/A,Derived,,
720,LT,Lamprologini,Other,N/A,Derived,,
721,LT,Lamprologini,Other,N/A,Derived,,
722,LT,Lamprologini,Other,N/A,Derived,,
723,LT,Lamprologini,Other,N/A,Derived,,
724,LT,Lamprologini,Other,N/A,Derived,,
725,LT,Lamprologini,Other,N/A,Derived,,
726,LT,Lamprologini,Other,N/A,Derived,,
727,LT,Lamprologini,Other,N/A,Derived,,
728,LT,Lamprologini,Other,N/A,Derived,,
729,LT,Lamprologini,Other,N/A,Derived,,
730,LT,Lamprologini,Other,N/A,Derived,,
731,LT,Lamprologini,Other,N/A,Derived,,
732,LT,Lamprologini,Other,N/A,Derived,,
733,LT,Lamprologini,Other,N/A,Derived,,
734,LT,Lamprologini,Other,N/A,Derived,,
735,LT,Lamprologini,Other,N/A,Derived,,
736,LT,Lamprologini,Other,N/A,Derived,,
737,LT,Lamprologini,Other,N/A,Derived,,
738,LT,Lamprologini,Other,N/A,Derived,,
739,LT,Lamprologini,Other,N/A,Derived,,
740,LT,Lamprologini,Other,N/A,Derived,,
741,LT,Lamprologini,Other,N/A,Derived,,
742,LT,Lamprologini,Other,N/A,Derived,,
743,LT,Lamprologini,Other,N/A,Derived,,
744,LT,Lamprologini,Other,N/A,Derived,,
745,LT,Lamprologini,Other,N/A,Derived,,
746,LT,Lamprologini,Other,N/A,Derived,,
747,LT,Lamprologini,Other,N/A,Derived,,
748,LT,Lamprologini,Other,N/A,Derived,,
749,LT,Lamprologini,Other,N/A,Derived,,
750,LT,Lamprologini,Other,N/A,Derived,,
751,LT,Lamprologini,Other,N/A,Derived,,
752,LT,Lamprologini,Other,N/A,Derived,,
753,LT,Lamprologini,Other,N/A,Derived,,
754,LT,Lamprologini,Other,N/A,Derived,,
755,LT,Lamprologini,Other,N/A,Derived,,
756,LT,Lamprologini,Other,N/A,Derived,,
757,LT,Lamprologini,Other,N/A,Derived,,
758,LT,Lamprologini,Other,N/A,Derived,,
759,LT,Lamprologini,Other,N/A,Derived,,
760,LT,Lamprologini,Other,N/A,Derived,,
761,LT,Lamprologini,Other,N/A,Derived,,
762,LT,Lamprologini,Other,N/A,Derived,,
763,LT,Lamprologini,Other,N/A,Derived,,
764,LT,Lamprologini,Other,N/A,Derived,,
765,LT,Lamprologini,Other,N/A,Derived,,
766,LT,Lamprologini,Other,N/A,Derived,,
767,LT,Lamprologini,Other,N/A,Derived,,
768,LT,Lamprologini,Other,N/A,Derived,,
769,LT,Lamprologini,Other,N/A,Derived,,
770,LT,Lamprologini,Other,N/A,Derived,,
771,LT,Lamprologini,Other,N/A,Derived,,
772,LT,Lamprologini,Other,N/A,Derived,,
773,LT,Lamprologini,Other,N/A,Derived,,
774,LT,Lamprologini,Other,N/A,Derived,,
775,LT,Lamprologini,Other,N/A,Derived,,
776,LT,Lamprologini,Other,N/A,Derived,,
777,LT,Lamprologini,Other,N/A,Derived,,
778,LT,Lamprologini,Other,N/A,Derived,,
779,LT,Lamprologini,Other,N/A,Derived,,
780,LT,N/A,Other,N/A,Ancestral,,ancestral node
781,LT,N/A,Other,N/A,Ancestral,,ancestral node
782,LT,Boulgerochromini,Other,N/A,Derived,Boulgerochromini,Divergence between Boulgerochomini and Bathybatini
783,LT,Bathybatini,Other,N/A,Derived,Bathybatini,Root node of Bathybatini
784,LT,Bathybatini,Other,N/A,Derived,,
785,LT,Bathybatini,Other,N/A,Derived,,
786,LT,Bathybatini,Other,N/A,Derived,,
787,LT,Bathybatini,Other,N/A,Derived,,
788,LT,Bathybatini,Other,N/A,Derived,,
789,LT,Bathybatini,Other,N/A,Derived,,
790,LT,Bathybatini,Other,N/A,Derived,,
791,LT,Trematocarini,Other,N/A,Derived,Trematocarini,Root node of Trematocarini
792,LT,Trematocarini,Other,N/A,Derived,,
793,LT,Trematocarini,Other,N/A,Derived,,
794,LT,Trematocarini,Other,N/A,Derived,,
795,LT,Trematocarini,Other,N/A,Derived,,
796,LT,Trematocarini,Other,N/A,Derived,,
797,Riverine,N/A,Other,N/A,Ancestral,,ancestal node
798,Riverine,N/A,Other,N/A,Ancestral,,ancestal node
799,Riverine,N/A,Other,N/A,Ancestral,,ancestral node
800,Riverine,Gobiocichlini,Other,N/A,Derived,Gobiocichlini,root node of Gobiocichlini
801,Riverine,Etinii,Other,N/A,Derived,Etinii,Divergence of Etinii and Tilapinii
802,Riverine,Tilapinii,Other,N/A,Derived,Tilapinii,Root node of Tilapinii
803,Riverine,Steatocranini,Other,N/A,Derived,Steatocranini,Root node of Steatocranini
804,Riverine,Steatocranini,Other,N/A,Derived,,
805,Riverine,Steatocranini,Other,N/A,Derived,,
806,Riverine,Oreochromini,Other,N/A,Derived,,
807,Riverine,Oreochromini,Other,N/A,Derived,,
808,Riverine,Oreochromini,Other,N/A,Derived,,
809,Riverine,Oreochromini,Other,N/A,Derived,,
810,Riverine,Oreochromini,Other,N/A,Derived,,
811,Riverine,Oreochromini,Other,N/A,Derived,,
812,Riverine,Oreochromini,Other,N/A,Derived,,
813,Riverine,Oreochromini,Other,N/A,Derived,,
814,Riverine,Oreochromini,Other,N/A,Derived,,
815,Riverine,Oreochromini,Other,N/A,Derived,,
816,Riverine,Oreochromini,Other,N/A,Derived,,
817,Riverine,Oreochromini,Other,N/A,Derived,,
818,Riverine,Oreochromini,Other,N/A,Derived,,
819,Riverine,Tylochromini,Other,N/A,Derived,Tylochromini,Root node of Tylochromini
820,Riverine,Tylochromini,Other,N/A,Derived,,
821,Riverine,Tylochromini,Other,N/A,Derived,,
